msg id;forward chat id;forward msg id
0;;
1;;None
2;;None
3;;None
4;;None
5;;None
6;;None
7;-1001577081296;9482
8;-1001577081296;9483
9;-1001577081296;9385
10;-1001577081296;9319
11;-1001577081296;9535
12;-1001577081296;9536
13;-1001577081296;9537
14;-1001577081296;9538
15;-1001577081296;9539
16;-1001577081296;9540
17;-1001577081296;9635
18;-1001577081296;9636
19;-1001577081296;9670
20;-1001577081296;9671
21;-1001577081296;9852
22;-1001577081296;9853
23;-1001577081296;9912
24;-1001577081296;9920
25;-1001577081296;10323
26;-1001577081296;10441
27;-1001577081296;10442
28;-1001577081296;10443
29;-1001577081296;10444
30;-1001577081296;10445
31;-1001577081296;10446
32;-1001577081296;10447
33;-1001577081296;10448
34;-1001577081296;10449
35;-1001577081296;10644
36;-1001577081296;10699
37;-1001577081296;10715
38;-1001577081296;10874
39;-1001577081296;10988
40;-1001577081296;11296
41;-1001577081296;11298
42;-1001577081296;11300
43;-1001577081296;11303
44;-1001577081296;11306
45;-1001577081296;11313
46;-1001577081296;11314
47;-1001577081296;11315
48;-1001577081296;11316
49;-1001577081296;11317
50;-1001577081296;11318
51;-1001577081296;11319
52;-1001577081296;11320
53;-1001577081296;11321
54;-1001577081296;11322
55;-1001577081296;11323
56;-1001577081296;11326
57;-1001577081296;11327
58;-1001577081296;11328
59;-1001577081296;11329
60;-1001577081296;11330
61;-1001577081296;11331
62;-1001577081296;11332
63;-1001577081296;11333
64;-1001577081296;11334
65;-1001577081296;11335
66;-1001577081296;11391
67;-1001577081296;11405
68;-1001577081296;11409
69;;None
70;-1001577081296;11439
71;-1001577081296;11448
72;-1001577081296;11449
73;-1001577081296;11452
74;-1001577081296;11469
75;-1001577081296;11470
76;-1001577081296;11471
77;-1001577081296;11472
78;;None
79;-1001577081296;11474
80;-1001577081296;11475
81;-1001577081296;11476
82;-1001577081296;11477
83;-1001577081296;11478
84;-1001577081296;11501
85;-1001577081296;11505
86;-1001577081296;11506
87;-1001577081296;11520
88;-1001577081296;11527
89;-1001577081296;11532
90;-1001577081296;11535
91;;None
92;;None
93;;None
94;;None
95;;None
96;;None
97;-1001577081296;11552
98;;None
99;-1001577081296;11553
100;-1001577081296;11554
101;-1001577081296;11556
102;-1001577081296;11569
103;-1001577081296;11571
104;-1001577081296;11613
105;-1001577081296;11630
106;-1001577081296;11638
107;-1001577081296;11639
108;-1001577081296;11640
109;-1001577081296;11679
110;-1001577081296;11684
111;-1001577081296;11690
112;-1001577081296;11705
113;-1001577081296;11706
114;-1001700175873;2695
115;-1001700175873;2696
116;-1001700175873;2697
117;-1001791139928;2430
118;-1001404933730;9548
119;-1001577081296;11718
120;-1001577081296;11721
121;-1001239942225;7352
122;-1001239942225;7356
123;-1001239942225;7357
